課程代碼,開課班別(代表),課程名稱,教學大綱(中),教學大綱(英),課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,符合開課標準
N1004,產業碩士班,問題決策概論IntroductiontoProblemSolvingandDecisionMaking,中文下載,No file,產業必修, ,否,3,林宗岐,白沙大樓,(三) 09-11 合班教室1 ,30,0,11,限本班,產業學院育才專班-矽品公司-大碩合班，教室T203，請見課程代碼N1003,Y
N1003,產業學士班,問題決策概論IntroductiontoProblemSolvingandDecisionMaking,中文下載,No file,產業必修, ,否,3,林宗岐,教學大樓,(三) 09-11 T203 ,30,0,3,限本班,產業學院育才專班-矽品公司-大碩合班「本課程網路選課人數未達開課人數，請洽開課單位。」,N
N1002,產業碩士班,半導體基礎概論認證課程2SemiconductorFundamentalsandIntroductionCertificationCourse2,中文下載,No file,產業必修, ,否,2,林祐仲,白沙大樓,(三) 03-04 合班教室1 ,20,0,11,限本班,產業學院育才專班-矽品公司-大碩合班，教室T201，請見課程代碼N1001。,Y
N1001,產業學士班,半導體基礎概論認證課程2SemiconductorFundamentalsandIntroductionCertificationCourse2,中文下載,No file,產業必修, ,否,2,林祐仲,教學大樓,(三) 03-04 T201 ,50,0,5,限本班,產業學院育才專班-矽品公司-大碩合班「本課程網路選課人數未達開課人數，請洽開課單位。」,N
ML003,語文課,中級商務華語(二)IntermediateBusinessChineseII,中文下載,No file,語文選修, ,否,3,黃柔溱,語文中心,(三) 05-07 LC202 ,50,0,11,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students",Y
ML002,語文課,初級文化華語(二)ElementaryChineseLanguageandCultureII,中文下載,No file,語文選修, ,否,3,劉培伃,語文中心,(五) 02-04 LC401 ,50,0,11,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students",Y
ML001,語文課,基礎華語口語與表達(二)BasicChineseSpokenLanguageandOralExpressionII,中文下載,No file,語文選修, ,否,3,周芷瑄,語文中心,(一) 02-04 LC201 ,50,0,4,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students「本課程網路選課人數未達開課人數，請洽開課單位。」",N
80046,日外校大學,巨量資料分析與應用BigDataAnalyticsandApplications,無檔案,No file,自由選修, ,否,2,校際教師,,,50,0,11,限本班,【ewant育網】跨校通識數位課程。認抵課程：機器和深度學習概論。博雅二/素養通識-生活藝能及應用。,Y
80045,日外校大學,人際關係與社會互動Interpersonalrelationsandsocialinteraction,無檔案,No file,自由選修, ,否,2,校際教師,,,50,0,10,限本班,【ewant育網】跨校通識數位課程。認抵課程：人際關係與溝通技巧。博雅一/跨學院通識(教)。教育學院學生修習不能認證為通識學分。,Y
80044,日外校大學,創意學經濟CreativeEssentialsofEconomics,無檔案,No file,自由選修, ,否,2,校際教師,,,50,0,18,限本班,【ewant育網】跨校通識數位課程。認抵課程：經濟與生活。博雅一/跨學院通識(社體)。社科體學院學生修習不能認證為通識學分。,Y
80043,日外校大學,綜合活動領域概論IntroductiontoIntegrativeActivitiesArea,無檔案,No file,自由選修, ,否,2,校際教師,,,1,0,1,限本班,國立臺灣師範大學,N
80042,日外校碩士班,藝術史與心理學－古代篇PsychologicalAspectsofArtHistory-AncientEra,無檔案,No file,自由選修, ,否,3,校際教師,,,1,0,1,限本班,陽明交通大學,N
80041,日外校碩士班,藝術文獻研討一SeminarontheLiteratureofArt(I),無檔案,No file,自由選修, ,否,1,校際教師,,,1,0,1,限本班,清華大學,N
80040,日外校大學,控制系統ControlSystem,無檔案,No file,自由選修, ,否,3,校際教師,,,1,0,1,限本班,國立勤益科技大學「本課程網路選課人數未達開課人數，請洽開課單位。」,N
80039,日外校大學,管理數學ManagerialMathematics,無檔案,No file,自由選修, ,否,3,校際教師,,,50,0,1,限本班,東海大學「本課程網路選課人數未達開課人數，請洽開課單位。」,N
