開課班別,系所,承辦人
語文課,語文中心,5622
公育三,公育系,5626
公育碩二,公育系,5626
公育碩一,公育系,5626
公育四,公育系,5626
公育二,公育系,5626
公育一,公育系,5626
運健碩二,運健所,5626
運健碩一,運健所,5626
運碩二,運動系,5626
運碩一,運動系,5626
運四,運動系,5626
運三,運動系,5626
運二,運動系,5626
運一,運動系,5626
財金博二,財金系,5626
財金碩二,財金系,5626
財金三,財金系,5626
財金博一,財金系,5626
財金二,財金系,5626
財金四,財金系,5626
財金碩一,財金系,5626
財金一,財金系,5626
企管碩二,企管系,5626
企管行銷碩二,企管系,5626
企管行銷碩一,企管系,5626
企管碩一,企管系,5626
企管四,企管系,5626
企管三,企管系,5626
企管二,企管系,5626
企管一,企管系,5626
會碩二乙,會計系,5626
會碩二甲,會計系,5626
會碩一乙,會計系,5626
會碩一甲,會計系,5626
會三乙,會計系,5626
會二乙,會計系,5626
會二甲,會計系,5626
會一乙,會計系,5626
會一甲,會計系,5626
會四甲,會計系,5626
會四乙,會計系,5626
會三甲,會計系,5626
資管碩二,資管系,5626
資管數科碩二,資管系,5626
資管三,資管系,5626
資管碩一,資管系,5626
資管數科碩一,資管系,5626
資管二,資管系,5626
資管一,資管系,5626
資管四,資管系,5626
工學位碩一,工學位,5623
資工四,資工系,5623
資工碩一,資工系,5623
資工三,資工系,5623
資工物聯碩一,資工系,5623
資工碩二,資工系,5623
資工二,資工系,5623
資工一,資工系,5623
電子三,電子系,5623
電子四,電子系,5623
電子碩一,電子系,5623
電子碩二,電子系,5623
電子二,電子系,5623
電子一,電子系,5623
電機碩一,電機系,5623
電機四,電機系,5623
電機碩博,電機系,5623
電機博四,電機系,5623
電機博二,電機系,5623
電機碩二,電機系,5623
電機博一,電機系,5623
電機三,電機系,5623
電機二,電機系,5623
電機一,電機系,5623
機電博二,機電系,5623
機電博一,機電系,5623
機電碩二,機電系,5623
機電碩博,機電系,5623
機電碩一,機電系,5623
機電三,機電系,5623
機電二,機電系,5623
機電一,機電系,5623
歷大學,歷史所,5622
歷碩一,歷史所,5622
歷碩二,歷史所,5622
歷碩三,歷史所,5622
台文碩二,台文所,5622
台碩博,台文所,5622
台文碩一,台文所,5622
翻譯碩二,翻譯所,5622
翻譯碩一,翻譯所,5622
兒英碩一,兒英所,5622
兒英碩二,兒英所,5622
美三,美術系,5622
美碩二,美術系,5622
美二,美術系,5622
美一,美術系,5622
美藝碩二,美術系,5622
美碩一,美術系,5622
美藝碩一,美術系,5622
美四,美術系,5622
地環博二,地理系,5622
地環博一,地理系,5622
地碩二,地理系,5622
地碩一,地理系,5622
地碩博,地理系,5622
地四,地理系,5622
地三,地理系,5622
地二,地理系,5622
地一,地理系,5622
國碩二,國文系,5622
國博二,國文系,5622
國碩博,國文系,5622
國四甲,國文系,5622
國四乙,國文系,5622
國三甲,國文系,5622
國三乙,國文系,5622
國二甲,國文系,5622
國二乙,國文系,5622
國一甲,國文系,5622
國一乙,國文系,5622
英博四,英語系,5622
英一,英語系,5622
英博三,英語系,5622
英博二,英語系,5622
英博一,英語系,5622
英碩二,英語系,5622
英碩一,英語系,5622
英四,英語系,5622
英三,英語系,5622
英二,英語系,5622
車輛碩二,車輛所,5624
車輛碩一,車輛所,5624
人管碩一,人管所,5624
人管碩二,人管所,5624
人管博三,人管所,5624
人管博二,人管所,5624
人管博一,人管所,5624
工碩二,工教系,5624
工教產資碩二秋,工教系,5624
工一乙,工教系,5624
工博二,工教系,5624
工博一,工教系,5624
工碩一,工教系,5624
工教數位碩二,工教系,5624
工教數位碩一,工教系,5624
工三甲,工教系,5624
工碩博,工教系,5624
工四乙,工教系,5624
工四甲,工教系,5624
工三乙,工教系,5624
工二乙,工教系,5624
工二甲,工教系,5624
工一甲,工教系,5624
統資碩二,統資所,5623
統資碩一,統資所,5623
光電碩博,光電所,5623
化碩二,化學系,5623
化碩一,化學系,5623
化四,化學系,5623
化三,化學系,5623
化二,化學系,5623
化一,化學系,5623
生技碩一,生物系,5623
生四,生物系,5623
生碩二,生物系,5623
生碩一,生物系,5623
